,OBJECTID,SUB_BASIN,UUID,2020-Feb_26_06,2020-Feb_26_12,2020-Feb_26_18,2020-Feb_27_00,2020-Feb_27_06,2020-Feb_27_12,2020-Feb_27_18,2020-Feb_28_00,2020-Feb_28_06,2020-Feb_28_12,2020-Feb_28_18,2020-Feb_29_00,2020-Feb_29_06,2020-Feb_29_12,2020-Feb_29_18,2020-Mar_01_00,2020-Mar_01_06,2020-Mar_01_12,2020-Mar_01_18,2020-Mar_02_00,2020-Mar_02_06,2020-Mar_02_12,2020-Mar_02_18,2020-Mar_03_00,2020-Mar_03_06,2020-Mar_03_12,2020-Mar_03_18,2020-Mar_04_00,2020-Mar_04_06,2020-Mar_04_12,2020-Mar_04_18,2020-Mar_05_00,2020-Mar_05_06,2020-Mar_05_12,2020-Mar_05_18,2020-Mar_06_00,2020-Mar_06_06,2020-Mar_06_12,2020-Mar_06_18,2020-Mar_07_00
44,45,Brahmaputra Lower,d169a185-44d7-4fa0-9b09-6cef6ca10889,4.605422744547515,3.775635437382231,2.7921660415715386,1.2818109473910908,0.27592254595454174,0.4789519558976564,0.17534809437058566,0.012266627267502115,0.0006648436631964237,0.019117566333460234,0.0021601679907416018,0.0,0.0,0.039532521213409756,0.01395373044982974,0.0007602457821715912,0.005757980662435852,0.23604831861858958,0.15343686181622337,0.060599104439570936,0.0738394365967974,0.4730867330152273,0.37929586468429477,0.48419564579260527,0.3733575303715012,0.7547807790371777,1.0635072775477972,0.8656274027004602,0.638275325902152,1.7473733703141465,0.9672850121092746,0.9969561778852896,0.4348419210648783,1.2683932346990918,1.2864029376305368,0.4707912792864198,0.24821217534251544,0.7131885714194313,0.1406536732109473,0.48292404842682235
45,46,Brahmaputra Upper,936ded4d-7ed8-457f-ab85-fcbc242e1e50,4.39766872554315,2.9307399810761825,2.870864413130134,2.7499183247341175,1.1539513092018105,1.3898919427888117,0.3651456533550033,0.0722671437056455,0.03983753951089825,0.24241196870654513,0.013095722445209306,0.0,9.360620654269253e-06,0.021774470159704035,0.0017031732141628486,2.281761222309783e-05,0.001877017341621662,0.06512013691539556,0.04708140043166793,0.10404874230647997,0.21277184453439082,0.6385624898221228,0.48007091327743723,0.42917268225476934,0.4645865981509165,0.8873737870124976,1.2863857291724399,1.5654781737327268,2.3024921336693,3.0532341957452753,2.129283455016308,3.009538678271943,2.627501915672041,1.696268331085309,1.345706165581709,1.3925795330378457,0.9490065431223752,0.7266331629621245,0.32148544480740116,0.14061016636369153
46,47,Cauvery Lower,15ca27c7-6fa9-4f87-9636-31c9bc5a513d,0.12525362189639183,0.015998029063228975,0.0015807622534634962,0.0030642622376522185,0.030211371081752463,0.0022470114804403734,0.013903621506303003,0.009611618182829766,0.020222329733915294,1.4730430856616167e-05,0.0,0.03805008406078139,0.07256212381972875,9.187690225093375e-05,0.000264925955866824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003502931226671386,0.0020114184298408674,0.014052743914823163,0.0017575682626207885,0.14661751727367167,0.009338837758703216
47,48,Cauvery Middle,d1fdf08d-9a8c-47af-8691-c88e1dd7b49b,0.0006155270918449063,0.02100557761753245,0.019121926553772373,0.022319779290739077,0.025178903548967076,0.13666653829360406,0.23358567256700571,0.06302108571697383,0.004847470290621626,0.020325145545850146,0.03120331133754549,0.053246494639109104,0.013048155950994345,0.017200029245353566,0.010812269492164878,0.042953611982560425,0.00011641233566959644,0.005496906637584515,0.011420139286363309,0.03410023781227456,0.0,0.0034047877762254024,0.023292847624056683,0.02941844909022328,0.002699735191308294,0.045908620803920726,0.04120969221116358,0.14617552920854926,0.0006284304683374559,0.006217295948534507,0.02338323839879764,0.15732527396711657,0.03421767568004513,0.008570596973825733,0.012801807356512509,0.015529214652106554,0.0019598025552895085,0.020670323922311454,0.13587996935512262,0.016632333766014987
48,49,Cauvery Upper,ad10aaad-0d72-4b55-802d-2671fa72e5bd,0.0,0.01284317516712984,0.672125517335029,0.7350629442798569,0.3900523753395113,1.272112696438269,1.1569950779481308,0.05479233681429644,0.008574864366633754,0.012693928086399207,0.32540856264802964,0.2449551814171541,0.0,0.02657779180549438,0.35311934262091704,0.5275625989898595,0.018858857044194714,0.06443782146298348,0.203357156102556,0.13038926028321907,0.001936567065571548,0.1165709120731527,0.11773717028108573,0.24959626244677088,0.07886839746162681,0.18004316974494017,0.07742130993015059,0.4115673727088067,0.08783062302214685,0.026504915779666034,0.017627925330812217,0.002623104686348653,3.422986546065595e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,50,Chenab,bc227dc8-a872-497f-a0c2-5e38a887070b,0.0,0.0,0.0,0.0,0.03386759791522861,0.2276476821087206,0.12540112703195186,0.8105312158796876,1.8633846125528657,1.6650998646338702,1.053161828578204,2.1696504706949433,3.512985918561598,4.062380928290338,2.302842882478206,3.2092297141435293,1.959283853149912,1.016702226239015,0.0814595534131888,0.005761947563427844,0.0,0.06936161432463711,0.016432697023973576,0.005242938189534791,0.0006249029822986508,0.2600221470761172,0.39408326489217327,1.269407665432224,0.33033022788991934,0.3450522929778132,0.06306804901094669,0.010645638462206133,0.0,0.05656682893880423,0.02878195217333787,0.31279218615119614,1.3859149319105215,3.539970640778901,2.839364967366137,5.564543458077099
50,51,Chambal Lower,f3ee4703-1dba-43b0-80b3-0954291ccccd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007917881233437448,0.5081159575199856,0.24651868841492933,1.022393029456173,0.6499387302888345,0.017025497855442977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019089118837364832,0.009800271734700024,8.840430776134392e-05,1.0905778370721075e-07,0.0246143915091066,0.5445797313827585,0.5352814339606915,0.26262087203956713,0.002521586314633537,0.3937274111694173,0.0932231559903212
51,52,Chambal Upper,8868f995-83c6-499a-95d1-c8d9cedcdb3f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000108420808172297,6.80880523284291e-07,0.13678300588516168,0.036972774335234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.152681372377243e-05,0.03333424317609632,0.0005256609243001326,0.0,0.0,0.0,0.0
52,53,Drainage Area of Lakshadweep Islands,624eecad-ce7d-44e2-99e6-d1709afe616a,0.0,0.0,0.0,0.0,0.012625373599488784,0.0,0.0,0.3309813718758719,0.2004825542888422,0.07093647807685423,0.0,0.36063326461884415,0.7097755442918416,0.17275414126971847,0.0,0.0,0.06682948532299464,0.47690049338314955,0.0,0.476730036288637,0.3092459809235622,0.08133488591852249,0.0,0.02480927683617513,0.09661258180360653,0.0,0.0,0.0,0.012212527923420622,0.030420278583952583,0.003049858195821058,2.453666724271172e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,54,Damodar,11d34a40-6a60-4f3f-a90e-f9eaa1e85624,0.1422240125381843,7.670655657022504e-05,0.10071725072793668,0.28264770709489706,0.04064397260781493,0.0,0.0055760423610186705,0.012958292170755559,0.008284522255063171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002307867335807221,0.0,8.124512085727003e-05,0.19133088142562335,0.08079234169884644,0.0017741361913578202,0.0011839941825200631,0.017271022186465413,0.0024692967192307185,0.0,0.6949622600553311,0.11897085761895164,0.2548531735176376,0.09126426924362163,0.924411984449473,1.6230414030334708,0.4360820528391364,0.21412232773629705,2.1750221190372794,6.771051290840081,0.1896137459614741
54,55,Drainage Area of Andaman and Nicobar Islands,1135eb55-5aa7-4494-9816-e4b52edd0931,0.0014456483428832742,0.0001463255751856911,0.0002375025937635677,0.01127197407862094,0.03283518550563156,0.013354758556319981,0.005280095896696969,0.02094229487985808,0.04032030479204296,0.0,0.0,0.01865189695203858,0.04486786434677355,0.023402221494988454,0.0,0.0,0.0,0.0,0.004938400907615733,0.0006309259259384264,0.0,0.0,0.02506144981607954,0.005695238905012139,0.009760619956226903,0.021839117628512074,0.06174766078224728,0.01448304923340052,0.03325606983215345,0.03484882004026344,0.015137306215476622,0.024565969877842958,0.009342106694960101,0.0009523250454516456,0.0010787794812522078,0.0009352851967969832,0.03587974481231384,0.07057932550943852,0.006965611277396918,0.0
55,56,Gandak and others,e26049ee-d1df-41ef-8a8d-57f47767405f,1.1703859922628916,0.7931764224197183,0.10517314945822723,0.16286937054562053,0.005298567419800473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008745430895998177,0.042830458559195775,0.0,0.027728178714759653,0.49691934541738914,0.07700847418313057,0.0,0.1495229891482456,0.05769149816786016,0.08397171301511513,0.5862210233007777,0.564486864173548,0.16124281960858616,0.08793086621265137,0.08312157059640217,0.33044009062124563,0.018112014433861325,0.0,1.0186998591682646,2.144745054406218,0.09667694743725268
56,57,Godavari Lower,2d1944c1-e8cb-4506-8d30-6304a09b4914,0.12053528204174535,0.0753584175430275,0.19929225266194625,0.034873130768139984,0.00018900558745677817,0.021450770774327263,0.04479401102481973,0.007337193356695241,0.0,0.0025634397672790756,0.008478528671831796,0.009110211519284388,0.0006567190186775326,0.010820231610920108,0.07808829002202873,0.04019164076084667,0.0002162765752417646,0.030230928762057126,0.15601125563567622,0.3707307681871129,0.0010057157415515625,0.001244675722630492,0.11003205587667163,0.14217424643529442,0.0,0.011288777871391086,0.3660091817263796,0.10673366256631045,0.013719134678120515,0.3056875119640108,0.6573243735796541,0.13045452471905192,0.20059127969302762,0.8832070754256963,1.1846557179817072,1.1084519702321196,0.7654051555342077,1.048815898129077,5.280682092021118,0.9394566667344653
57,58,Godavari Middle,60f6cc5f-52c1-4064-a3b8-c66084270d88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014471307666483548,0.744257704440287,1.033070747273132,0.12220474197565027,0.08084230798490964,0.16444775237386147,0.09542081204170781,0.00018542228021601622,0.0,0.017894561134271656,0.0,7.331149420402115e-05,0.005623869865255832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7331510384117802e-05,0.010434973331244575,0.3400588681108665,0.2101019539899338,0.0,0.0,0.0
58,59,Godavari Upper,ab8a1a78-1d3a-411d-be5e-1a535b07ccb6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08997418147829377,0.02342305105041971,0.0,5.513886580557192e-05,0.0012804160420637246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,60,Ghaghara,ed6bf5cf-fe40-4536-845a-bf397aa44ef5,0.3776078376782058,0.10943599196613203,0.009202123372138828,0.000459722168919412,0.0,0.000284708125286823,0.0013558634859088656,0.005492422189301988,0.002947258421174116,0.09714375621713678,0.1115699373588417,0.02951821043961643,0.02414894234276425,0.29625799562226207,0.22459541019995777,0.24088680629063425,0.16013970427746205,0.18898102468292105,0.07283587547229715,0.056923112646756084,0.010020806261441513,0.07943981027571802,0.05556713877459578,0.03498568806758398,0.029685917421142696,0.11386354620837003,0.1654446123414153,0.2627828074789534,0.2842716062507506,0.34633671770641145,0.2734528370827039,0.14766247639664215,0.06200694035857173,0.1548486069837125,0.10933379631011102,0.06677492135762476,0.13516363883369772,0.6884646381122189,0.3120739313467725,1.806740257438809
60,61,Ghaghara Confluence to Gomti confluence,3d9ab6bd-9644-4b97-a383-118ddfff6ebe,0.40164006921406553,0.3731267153156557,0.0012820202412235533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041296728019247754,0.04480061603028496,0.007260964124195065,0.2133282311731573,0.09688595498934184,0.0,0.0,0.010376563460462035,0.11284850427921982,0.006011262330886634,0.06483122568439506,0.0614798304091691,0.1624962594074098,0.08428130833551169,0.020222451046090776,0.09542892390026862,0.033454695428967104,0.0029911917701010773,0.16606561241763776,0.036365347888679296,0.5396537595280657
